TIME_STAMP	Lon	Lat	5G-NR NAS Registration Procedure Registration Time(ReqToAcc) [sec]	5G-NR NAS Registration Procedure Registration Time(ReqToComp) [sec]
2024-03-19 19:08:46.802664	-93.182449	44.976501	0.376	
2024-03-19 19:08:46.802843	-93.182449	44.976501		0.377
2024-03-19 19:10:19.067987	-93.182449	44.976501	0.421	
2024-03-19 19:10:19.068175	-93.182449	44.976501		0.422
2024-03-19 19:12:46.903507	-93.182449	44.976501	0.470	
2024-03-19 19:12:46.904424	-93.182449	44.976501		0.471
2024-03-19 19:14:19.137559	-93.182449	44.976501	0.462	
2024-03-19 19:14:19.137743	-93.182449	44.976501		0.462
2024-03-19 19:16:46.879178	-93.182449	44.976501	0.367	
2024-03-19 19:16:46.879313	-93.182449	44.976501		0.367
2024-03-19 19:18:19.044206	-93.182449	44.976501	0.436	
2024-03-19 19:18:19.044341	-93.182449	44.976501		0.437
2024-03-19 19:20:46.955460	-93.182449	44.976501	0.506	
2024-03-19 19:20:46.955678	-93.182449	44.976501		0.507
2024-03-19 19:22:19.040378	-93.182449	44.976501	0.430	
2024-03-19 19:22:19.040572	-93.182449	44.976501		0.431
2024-03-19 19:24:46.897560	-93.182449	44.976501	0.441	
2024-03-19 19:24:46.900398	-93.182449	44.976501		0.442
2024-03-19 19:26:19.208430	-93.182449	44.976501	0.511	
2024-03-19 19:26:19.208650	-93.182449	44.976501		0.512
2024-03-19 19:28:46.898891	-93.182449	44.976501	0.436	
2024-03-19 19:28:46.899085	-93.182449	44.976501		0.437
2024-03-19 19:30:19.172909	-93.182449	44.976501	0.466	
2024-03-19 19:30:19.173105	-93.182449	44.976501		0.467
2024-03-19 19:32:46.958317	-93.182449	44.976501	0.486	
2024-03-19 19:32:46.958444	-93.182449	44.976501		0.487
2024-03-19 19:34:19.143006	-93.182449	44.976501	0.432	
2024-03-19 19:34:19.143219	-93.182449	44.976501		0.432
2024-03-19 19:36:46.859751	-93.182449	44.976501	0.381	
2024-03-19 19:36:46.859978	-93.182449	44.976501		0.382
2024-03-19 19:38:19.260383	-93.182442	44.976501	0.461	
2024-03-19 19:38:19.260485	-93.182442	44.976501		0.461
