Index	Auth Time
2	0.568127
6	0.59962
10	0.696365
14	0.57531
18	0.449262
22	0.562247
26	0.588827
30	0.451744
34	0.498128
38	0.595089
42	0.539919
46	0.544156
50	0.689132
54	0.484447
58	0.539395
62	0.619721
66	0.66864
70	0.440344
74	0.578056
78	0.537974
82	0.5792
86	0.538396
90	0.588032
94	0.52974
98	0.450875
102	0.471742
106	0.560978
110	0.612111
114	0.474476
118	0.49071
122	0.523927
126	0.472512
130	0.657922
134	0.609253
138	0.595992
142	0.587827
146	0.527574
150	0.654981
154	0.635936
158	0.634741
162	0.5874
166	0.65186
170	0.456104
174	0.518018
178	0.572391
182	0.674847
186	0.567356
190	0.631168
194	0.546768
198	0.524321
202	0.540061
206	0.554154
210	0.668785
214	0.556078
218	0.654523
222	0.593331
226	0.657553
230	0.5517
234	0.693705
238	0.543482
242	0.429366
246	0.566912
250	0.532413
254	0.45208
258	0.771201
262	0.536189
266	0.460828
270	0.488963
274	0.509098
278	0.4999
282	0.491965
286	0.528357
290	0.486931
294	0.596078
298	0.456321
302	0.501868
306	0.538116
310	0.571002
314	0.702759
318	0.463844
322	0.574913
326	0.546621
330	0.562656
334	0.567401
338	0.579401
342	0.484082
346	0.48767
350	0.536615
354	0.558226
358	0.487655
362	0.541174
366	0.519425
370	0.524172
374	0.488349
378	0.506578
382	0.484203
386	0.467256
390	0.562958
394	0.63627
398	0.610101
402	0.496479
406	0.551384
410	0.525782
414	0.530273
418	0.42029
422	0.481483
426	0.466081
430	0.421625
434	0.545722
438	0.508882
442	0.595782
446	0.622034
450	0.518776
454	0.461582
458	0.660515
462	0.615615
466	0.509903
470	0.441144
474	0.528529
478	0.680852
482	0.552933
486	0.546373
490	0.486562
494	0.540705
498	0.527158
502	0.472959
506	0.510668
510	0.581941
514	0.533849
518	0.572254
522	0.593113
526	0.610531
530	0.559591
534	0.589319
538	0.593558
542	0.42435
546	0.596759
550	0.557715
554	0.516071
558	0.558329
562	0.61463
566	0.713985
570	0.553633
574	0.481453
578	0.676253
582	0.491034
586	0.577517
590	0.528822
594	0.660186
598	0.520422
602	0.561488
606	0.575282
610	0.455985
614	0.453783
618	0.490657
622	0.622763
626	0.563189
630	0.473956
634	0.639259
638	0.626398
642	0.483729
646	0.479485
650	1.060917
654	0.536095
658	0.509458
662	0.532278
666	0.526094
670	0.468734
674	0.687628
678	0.578874
682	0.560716
686	0.571699
690	0.381105
694	0.669552
698	0.584261
702	0.59165
706	0.562288
710	0.575364
714	0.437611
718	0.615407
722	0.496883
726	0.639559
730	0.468631
734	0.548439
738	0.517505
742	0.587184
746	0.67981
750	0.487654
754	0.629598
758	0.648261
762	0.581307
766	0.669484
770	0.650544
774	0.558997
778	0.758366
782	0.655533
786	0.568733
790	0.664982
794	0.556077
798	0.546894
802	0.484421
806	1.371894
810	0.575721
814	0.642996
818	0.623681
822	0.528244
826	0.457788
830	0.580931
834	0.564143
838	0.598672
842	0.602783
846	0.583531
850	0.613374
854	0.639208
858	0.656973
862	0.618872
866	0.639595
870	0.528258
874	0.463095
878	0.501046
882	0.589828
886	0.478063
890	0.523465
894	0.578393
898	0.587031
902	0.530933
906	0.48906
910	0.543384
914	0.574373
918	0.482833
922	0.641281
926	0.422441
930	0.697315
934	0.546517
938	0.736772
942	0.614482
946	0.559996
950	0.590898
954	0.481402
958	0.64827
962	0.571304
966	0.488075
970	0.64793
974	0.536968
978	0.554485
982	0.63217
986	0.591616
990	0.574375
994	0.585863
998	0.429641
1002	0.558967
1006	0.50805
1010	0.651601
1014	0.502815
1018	0.570467
1022	0.518346
1026	0.642167
1030	0.514651
1034	0.728325
1038	0.507093
1042	0.395838
1046	0.593631
1050	0.504659
1054	0.729073
1058	0.505802
1062	0.577203
1066	0.478524
1070	0.628492
1074	0.574992
1078	0.566066
1082	0.480712
1086	0.66906
1090	2.445024
1092	147.321803
1095	0.476512
1099	0.525323
1103	0.565597
1107	0.448679
1111	0.615263
1115	0.52658
1119	0.505
1123	0.562828
1127	0.530676
1131	0.551115
1135	0.489399
1139	0.458454
1143	0.6198
1147	0.587902
1151	0.390645
1155	0.416066
1159	0.558986
1163	0.496828
1167	0.489504
1171	0.378828
1175	0.587206
1179	0.552876
1183	0.552617
1187	0.492624
1191	0.569001
1195	0.544714
1199	0.50028
1203	0.486064
1207	0.651955
1211	0.494759
1215	0.548999
1219	0.64865
1223	0.602768
1227	0.478333
1231	0.550074
1235	0.362463
1239	0.475941
1243	0.492309
1247	0.498878
1251	0.560806
1255	0.66884
1259	0.706906
1263	0.479234
1267	0.432934
1271	0.659434
1275	0.582349
1279	0.542399
1283	0.497293
1287	0.58335
1291	0.561354
1295	0.547939
1299	0.558174
1303	0.550001
1307	0.613586
1311	0.443081
1315	0.491947
1319	0.521132
1323	0.600074
1327	0.642867
1331	0.591345
1335	0.429458
1339	0.590662
1343	0.518656
1347	0.52567
1351	0.516639
1355	0.59479
1359	0.562288
1363	0.577405
1367	0.534414
1371	0.854858
1375	0.465825
1379	0.492537
1383	0.68151
1387	0.609931
1391	0.575082
1395	0.648425
1399	0.562036
1403	1.022447
1409	0.669691
1413	0.95244
1415	147.166637
1418	0.567332
1422	0.491447
1426	0.644301
1430	0.55534
1434	0.497714
1438	0.563315
1442	0.483351
1446	0.482526
1450	0.629845
1454	0.492698
1458	0.995301
1460	91.58898
1463	0.57219
1467	0.573652
1471	0.557271
1475	0.426612
1479	0.400438
1483	0.576767
1487	2.800781
1489	147.400295
1492	0.473524
1496	0.983766
1498	147.354395
1501	0.673906
1505	0.560915
1509	0.597735
1513	0.475169
1517	0.465579
1521	0.466953
1525	0.619431
1529	0.473164
1533	0.511769
1537	0.578681
1541	0.598973
1545	0.544909
1549	7.083097
1551	91.668146
1554	0.60731
1558	0.554505
1562	0.581982
1566	0.63969
1570	0.621092
1574	0.483968
1578	0.594867
1582	0.484293
1586	0.601002
1590	0.563232
1594	0.48522
1598	0.540856
1602	0.598089
1606	0.55047
1610	0.562449
1614	0.684062
1618	0.399036
1622	0.488751
1626	0.556889
1630	0.643718
1634	0.58615
1638	0.524635
1642	0.687773
1646	0.649853
1650	0.506657
1654	0.486841
1658	0.712553
1662	0.773559
1666	0.559433
1670	0.49049
1674	0.51689
1678	0.522553
1682	0.57589
1686	0.560819
1690	0.563678
1694	0.482096
1698	0.491818
1702	0.538023
1706	0.547413
1710	0.58687
1714	0.569667
1718	0.669061
1722	0.539091
1726	0.590202
1730	0.533357
1734	0.473782
1738	0.522721
1742	0.66171
1746	0.588842
1750	0.567492
1754	0.579256
1758	0.603142
1762	0.507671
1766	0.527444
1770	0.512043
1774	0.561433
1778	0.621848
1782	0.549308
1786	0.630771
1790	0.541199
1794	0.519257
1798	0.640965
1802	0.634728
1806	0.485955
1810	0.506363
1814	0.563168
1818	0.4955
1822	1.008091
1824	91.717712
1827	0.640794
1831	0.59979
1835	0.634953
1839	0.53153
1843	1.341881
1845	147.200342
1848	0.54369
1852	0.565847
1856	0.514363
1860	0.455443
1864	0.535604
1868	0.449165
1872	0.539949
1876	0.466268
1880	0.574841
1884	0.54732
1888	0.49844
1892	0.490367
1896	0.647683
1900	0.558453
1904	0.557146
1908	0.558774
1912	0.570199
1916	0.669296
1920	0.49126
1924	0.627688
1928	0.682176
1932	0.655684
1936	0.483862
1940	0.595797
1944	0.650002
1948	0.564904
1952	0.530301
1956	0.475
1960	0.472603
1964	0.529712
1968	0.526794
1972	0.744198
1976	0.501184
1980	0.599676
1984	0.589415
1988	0.619621
1992	0.469407
1996	0.555318
2000	0.504695
2004	0.592484
2008	0.55298
2012	0.555742
2016	0.497726
2020	0.468087
2024	0.564918
2028	0.590232
2032	0.582688
2036	0.5435
2040	0.644398
2044	0.558159
2048	0.487184
2052	0.587355
2056	0.619721
2060	0.557766
2064	0.563665
2068	0.498678
2072	0.535275
2076	0.6804
2080	0.472789
2084	0.592047
2088	0.598024
2092	0.490609
2096	0.608001
2100	0.538059
2104	0.672642
2108	0.435986
2112	0.564927
2116	0.68676
2120	0.57853
2124	0.556333
